,EpochLoss
0,4.095133543014526
1,1.87721449136734
2,0.7216607928276062
3,0.49889305233955383
4,0.3614533394575119
5,0.29998423159122467
6,0.26023080199956894
7,0.23471039533615112
8,0.2185685783624649
9,0.20586097240447998
10,0.19483809173107147
11,0.18858743458986282
12,0.17836128920316696
13,0.16931087523698807
14,0.16433438658714294
15,0.15830834954977036
16,0.1539236679673195
17,0.14950021356344223
18,0.1418929025530815
19,0.13711795955896378
20,0.13232167065143585
21,0.12839262932538986
22,0.12394623085856438
23,0.1183694414794445
24,0.11486014723777771
25,0.11072329804301262
26,0.10705071687698364
27,0.10287124291062355
28,0.09765850380063057
29,0.0939815528690815
30,0.09118836373090744
31,0.08659175038337708
32,0.0843123234808445
33,0.08021780848503113
34,0.07708397135138512
35,0.07453883811831474
36,0.07301831245422363
37,0.06933975592255592
38,0.06746497750282288
39,0.06521102041006088
40,0.0637779887765646
41,0.060914330184459686
42,0.059797465801239014
43,0.05713058076798916
44,0.05679038539528847
45,0.05464147962629795
46,0.0537190530449152
47,0.05311586149036884
48,0.05217495746910572
49,0.050431979820132256
50,0.049476901069283485
51,0.047344623133540154
52,0.048236582428216934
53,0.04672429710626602
54,0.045737460255622864
55,0.04542316682636738
56,0.04471304640173912
57,0.043131273239851
58,0.04292212426662445
59,0.041565852239727974
60,0.04169856943190098
61,0.04118664562702179
62,0.040388407185673714
63,0.04022137261927128
64,0.03931820206344128
65,0.03923470340669155
66,0.039252158254384995
67,0.037679798901081085
68,0.03740609437227249
69,0.0367868784815073
70,0.03690546751022339
71,0.036681802943348885
72,0.0361474696546793
73,0.03535017371177673
74,0.035547876730561256
75,0.035258201882243156
76,0.03435567952692509
77,0.03346818685531616
78,0.033346278592944145
79,0.03356848657131195
80,0.032389347441494465
81,0.03247257322072983
82,0.033020428381860256
83,0.031856756657361984
84,0.03172533959150314
85,0.031372079625725746
86,0.03112659975886345
87,0.030543574132025242
88,0.03010112512856722
89,0.030267995782196522
90,0.03052166197448969
91,0.029812799766659737
92,0.028997517190873623
93,0.029497159644961357
94,0.028602004051208496
95,0.028779522515833378
96,0.02872898243367672
97,0.028321562334895134
98,0.02756662853062153
99,0.0274448087438941
